call_id,flags,flag_count,transcript_chars,transcript_preview,gold_appointment_booked,gold_client_type,gold_treatment_type,gold_reason_not_booked,review_status,review_notes
CAL01983822ac26708db3b026da626a071c,no_medical_content,1,674,"Agent: Thank you for calling Linden Animal Clinic. Tabitha speaking. How can I help you? Caller: I hope you can. Thank you. I understand that you're a holistic veterinary clinic. Is that correct? Agent: I'm not too sure. I'm still a little bit new. But if you give me a moment, I can find out. Caller",No,New,Preventive Care,1a. Caller Procrastination - Price Objection / Shopping / Request for Quote,,
CAL019838234a5573079b0722f822b613f7,no_medical_content,1,995,"Agent: Lincoln Animal Hospital. Jada speaking. How may I help you? Caller: Hi, it's Freda. I'm calling regarding Radiance Food. Not sure if you guys have the diabetes food in store because I have ordered online but still not shipped yet. Agent: Let me see. You ordered it through my vet store, Right.",Inconclusive,Existing,Retail – Food Orders,,,
CAL0198382a648d7ea09d62d10d36e470d7,no_medical_content,1,1096,"Agent: In an animal clinic. I'm speaking. How can I help you? Caller: How are you today? Agent: I'm good, thank you. How are you. Caller: I'm good. I have a quick question. Agent: Sure? Caller: We had some puppies and I was wondering, do you guys offer tail docking? Agent: No, we don't have any vets",No,New,Surgical Services,1a. Caller Procrastination - Price Objection / Shopping / Request for Quote,,
CAL0198384b51907551aab56685e09cde9c,no_medical_content,1,582,"Agent: Fisher, Glen Animal Hospital. Bailey speaking. Caller: Hi, Bailey. It's Polly calling with big girl. Agent: Oh, hi. Caller: I was on my lunch, so I was like, I'm just gonna call. Maybe they did. Look at her. I don't know. Agent: Okay, I don't believe she has yet, but I'll just double check. O",Inconclusive,Existing,Surgical Services,,,
CAL019838502ce87cbdbc990b0ade416e7a,no_medical_content,1,857,"Agent: Hi, Blue Sky Animal Hospital. Sarah speaking. How can I help you? Caller: Oh, hi, Sarah. I have a question to ask you. I am looking to get insurance for my newly adopted cat, and they asked me for a date of birth, and she was fixed at your place. She's one of the cats from Shady Acres. Would ",Inconclusive,New,Surgical Services – Spays and Neuters,,,
CAL01983864fd50700396fe8fb50860c0ae,no_medical_content,1,308,"Agent: Thank you for Dolly Linden. Animal Clinics. Habit of speaking. How can I help you? Caller: Hello. I was wondering if you guys do more exotic animals, like a bearded dragon. Agent: No, sorry. Caller: Okay. Thank you very much. I was wondering. Thank you. See ya. Agent: Okay, you have a great d",No,New,Preventive Care,3. Service/treatment not offered,,
CAL0198387534b27b21af285cf499eac523,admin_no_medical,1,1241,"Agent: Hope. I. Foster speaking. Caller: Yes, hello. Agent: Hello? Caller: I have an appointment for Benji on Friday at 4. I was wondering if I can move that appointment. Agent: For Benji. For yeah, when you want to come in? What time does work for you? Caller: I won't be getting. Probably around th",Yes,Existing,Preventive Care,,,
CAL019838a6d53c7c27836008665c04d9ee,no_medical_content,1,525,"Agent: Moria Veterinary Clinic, Megan speaking. Caller: Hi, Megan. It's Michelle Henderson calling. I'm Loki's mom. Agent: Yes, yes. Caller: I am desperate. I am going away to Niagara Falls this weekend and I need Loki to be boarded. Agent: Okay. Okay. I, unfortunately, I don't have anything to do. ",No,Existing,Preventive Care – Vaccinations,2b. Scheduling Issue - Full schedule,,
CAL019838beaef3720196945678ed36fe5d,no_medical_content,1,548,"Agent: Hi, NK RePet Hospital Village speaking. How can I help you today? Caller: Oops. Hi. My. Oh, there's an ambulance going by. Just. Agent: It's okay? Caller: I have an appointment to bring my dog in tomorrow, and I'm just wondering if I can move it to later in the day. Agent: Yes, I think so. Wo",Yes,Existing,Other,,,
CAL019838c9818f7ad181845b8401268211,no_medical_content,1,491,"Caller: Yeah, hi. I just want to make sure I have your right email address. Is it carringtonanimalhospmail.com? Agent: Yes, it is. Caller: Okay, perfect. Dr. Tam asked me to send some pictures of Kona's teeth. Kona was there this morning, so I just sent those in earlier. Okay. Agent: Yeah, just wait",Inconclusive,Existing,Preventive Care,,,
CAL019838e5133f728f8e7390ef05981bc6,no_medical_content,1,742,"Agent: Hi, Blue Sky Animal Hospital, Sarah speaking. How can I help you? Caller: Hi there. I just. I got an appointment for our dog on Friday at 11:15 for Cooper Frost. I just wanted to confirm that was the time and to see if there was any other available times that day. But if not, we'll be there. ",Yes,Existing,Preventive Care – Annual Exams,,,
CAL019838eb0e9c7a20a0d2e589280ff07b,no_medical_content,1,1376,"Agent: Hi, Blue Sky Animal Hospital, Sarah speaking. How can I help you? Caller: Hi, it's Marie Jordan calling from Animal Welfare. Agent: Hi. Caller: Hi, is Dr. Boyle still in by chance? Agent: I believe so. I'm not sure, but I'll go check. Caller: Okay, I was just wondering. I need an opinion. I'm",Inconclusive,Existing,Urgent Care / Sick Pet,,,
CAL019838ee40bd75d79ed3a09727199f16,very_short,1,1201,Agent: Thanks for calling McEwen Frontenac Animal Hospital. We are currently unavailable to answer your call because we are either helping other clients and patients or outside of office hours. Office hours are Monday and Friday 8am until 6pm and Tuesday through Thursday 8am until 7pm we are closed ,No,New,Preventive Care,,,
CAL01983903cb0d7d2cb167c54ec307a550,no_medical_content,1,579,"Agent: Animal Hospital. Wesley speaking. Caller: Hi, how are you? I just have a quick question. Do you take care of bunnies? Agent: Yeah, we have one doctor that takes care of bunnies. She's just on holidays right now. She'll be back the beginning of Aug. Caller: Beginning of August. Okay. He's got ",No,New,Urgent Care / Sick Pet,3c. Service/treatment not offered - Exotics,,
CAL0198394fe92f75bd89f5c30da130643f,no_medical_content,1,389,"Agent: Hi. Natural interpreter speaking. How can I help you today? Caller: Hi, it's Sebastian again. Sorry, I don't know if I mentioned or if. It's important to you to know now. Their breed, their Chihuahuas. Agent: Chihuahua. Okay. It's okay. No worries. Thank you. Caller: Yeah. Okay, thanks. Agent",Yes,Existing,Preventive Care – Vaccinations,,,
CAL0198395352eb71d98060eabad90c64f8,no_medical_content,1,1007,"Agent: Hi. Not venture for the hospitality speaking. How can I help you today? Caller: I'm so sorry. It's Sebastian again. My wife informed me of something. We have a scheduling conflict for the Thursday. Do you have time on The Friday? Agent: Yeah, of course. Caller: The 15. Agent: Just next Friday",Yes,Existing,Preventive Care – Vaccinations,,,
CAL0198396f004a7c9fa7982cab05237ddf,very_short,1,1099,Agent: Thank you for calling MCEW in Frontneck Animal Hospital. We are currently unavailable to answer your call because we are either helping other clients and patients or outside of office hours. Office hours are Monday and Friday 8am until 6pm and Tuesday through Thursday 8am until 7pm we are clo,No,Existing,Urgent Care / Sick Pet,2c. Scheduling Issue - Not open / no availability on evenings,,
CAL01983c5772447f23b09a04afb1080ca2,no_medical_content,1,783,Agent: Fisher Glenn Animal Hospital. This is Kira speaking. How can I help you? Caller: Yes. Hi. Good morning. I was wondering if. Excuse me. There might be any appointments open on Saturday. I've never been to your animal hospital before. Sorry. I've got a cold and I can't get in. Agent: Morning. C,No,New,Urgent Care / Sick Pet,2d. Scheduling Issue - Not open / no availability on weekends,,
CAL01983c8a3e137c2d915449118f89a10b,no_medical_content,1,585,"Agent: Good morning. Moro Veterinary Clinic, Megan speaking. Caller: Hey, Megan, it's Christy. How you doing? Agent: Good. How are you? Caller: I am excellent. I just wanted to give you a heads up that Heather is on her way to drop off a kitten or some swabs or something, but she's gonna pick up D. ",Inconclusive,Existing,Retail – Food Orders,,,
CAL01983ca46dd47a23b2b6b60ce2930f00,admin_no_medical,1,686,"Agent: Good morning. McEwen, Frontenac Animal Hospital, Kim speaking. Caller: Hi Kim, it's Kathleen calling. I have Earl. I had an appointment at 2:30 today. I did leave you guys a message earlier, but I just want to make sure that I was able to reschedule it before it left you with not enough time.",Yes,Existing,Preventive Care,,,
CAL01983cb934ad7b1c9dbe4fea75313ada,no_medical_content,1,1509,"Agent: Good morning. Moriar Veterinary Clinic. Megan speaking. Caller: Hello? Agent: Hello, Moria Veterinary Clinic. Megan speaking. Caller: Sorry, it's really hard to hear you there, Megan. Agent: How can I help you? Caller: There you are. There you are. I'm calling. I'm looking after my friend's c",Inconclusive,Existing,Retail – Prescriptions,,,
CAL01983cc519197d11b51db3adc8a2251c,no_medical_content,1,3217,"Agent: ... ... Caller: Yeah, okay. My name is Joelle Frasman. And is that possible to talk to somebody in French? Because we are, okay, thank you. Agent: ... ... ... ... ... Caller: Okay, one moment. Agent: ... Oui, Caller: Oui, Agent: allô? Caller: bonjour. Je me présente. Mon nom est Monique Duque",Inconclusive,Existing,Preventive Care – Vaccinations,,,
CAL01983ccceddd7f4abe511966c66e1954,no_medical_content,1,637,"Agent: Hi, Blue Sky. I'm hospital Sarah speaking. How can I help you? Caller: Hi, Sarah, it's Matt Lamut. I have an appointment with Buddha on August 18, and his condition is progressively getting a bit more concerning as time goes on. I was wondering if I could be put on the cancellation list or an",Yes,Existing,Urgent Care / Sick Pet,,,
CAL01983ce012417e8b96aa826b5a362b67,no_medical_content,1,483,"Agent: Caledonia Vet Clinic. This is Kelly. How may I help you? Caller: Hi. I just called you about the cost for a new kitten. I was wondering if that included the appointment fees. Agent: Yes. Yes, it does. Yep. The exams are included in that. Caller: So the numbers you gave me is including the fee",No,New,Preventive Care,1a. Caller Procrastination - Price Objection / Shopping / Request for Quote,,
CAL01983ce94ced76b8a7a8bbe416af0f65,no_medical_content,1,792,"Agent: An animal clinic. This is Holly speaking. Caller: Hi, Holly. Is Christine Jelly calling? Agent: Hi, how are you? Caller: I'm good. I think it might have been. You called from the office a couple of minutes ago. Sorry I missed your call. Agent: Yes. Yeah, yeah, no worries. Caller: Addie and ri",Yes,Existing,Preventive Care – Vaccinations,,,
CAL01983cf6c4147b219aa0a218d2b8356d,garbled,1,1552,"Agent: Tom Valley Animal Hospital. Amanda Seeking. How can I help you? Caller: Yes, good morning. I'm calling because I'm looking for a, you know, [DRUG] and like [DRUG]. [DRUG], [DRUG] [DRUG] and you know what is for the kidney? [MEDICAL_CONDITION] [MEDICAL_CONDITION] with the heart, you know, do y",No,New,Retail – Food Orders,1a. Caller Procrastination - Price Objection / Shopping / Request for Quote,,
CAL01983cf857a771168f556836b2d71e37,no_medical_content,1,456,Agent: Animal hospital associate. How can I help you? Caller: Hi there. I'm just calling from Mountjoy Animal Clinic. I just sent an email with three photos on it. Agent: Okay. Caller: If you could show Dr. V. Bu. This person is just being very insistent that she see them before he seeks attention. ,Inconclusive,Existing,Urgent Care / Sick Pet,1c. Caller Procrastination - Getting information for someone else,,
CAL01983d40eb3c7f9dbc70234b768f4ce4,no_medical_content,1,1253,"Agent: Thanks for calling concerning Animal Hospital. This is Leslie. How can I help you? Caller: Hi there. I needed to make an appointment for a nail clipping Appointment for my bunny. Agent: Okay, no problem. And you've been here before? Caller: Yep. Agent: Okay, great. Can I get your phone number",Yes,Existing,Preventive Care,,,
CAL01983d496ef2781a98db9ed6aa9880fe,no_medical_content,1,2287,"Agent: Bonjour. Caller: Bonjour, je voulais juste savoir si vous acceptez des nouveaux clients. Oui, OK. Moi, j'ai deux chats, un qui a 5 et l'autre qui a 4 ans. Avant, j'ai déjà un vétérinaire à Ottawa, mais moi, je vis à Québec. Alors, je voulais juste voir si on peut transférer ou comment ça fonc",Yes,New,Preventive Care,,,
CAL01983d65fa707096b4144d44a92e8701,no_medical_content,1,1058,"Agent: Hello, Blue Animal Hospital. JD Speaking. How can I help you? Caller: Hello. So my name is Adora. I think we speak. We talked yesterday about Willow. Agent: Yes. Caller: Hi. How are you? Agent: Good. You. Caller: I'm good. So, question. When do you have availability to book A. Agent: Right no",Inconclusive,Existing,Surgical Services,2a. Scheduling Issue - Walk ins not available / no same day appt,,
CAL01983d983b197766a2bd7629d4452939,no_medical_content,1,846,"Agent: Hi, Blue Sky Animal Hospital, Sarah speaking. How can I help you? Caller: Hello, sir. Good afternoon. My name is Leon. We just moved out of town, or actually out of the country to North Bay and with our puppy. And we want to register her with a local veterinarian. Agent: Yeah. Caller: I was w",No,New,Preventive Care,1c. Caller Procrastination - Getting information for someone else,,
CAL01983e004bb676fcb0fa57b2090bd7d5,no_medical_content,1,656,"Agent: Union. Frontenac Animal Hospital, Pierre speaking. How can I help you? Caller: Hi there, it's Helen Searles. I'm just going to confirm my appointments at 4:30, not 4:00'. Clock. Correct. Agent: Let me double check here for you. Caller: Sorry, I was having a bit of a panic attack here, trying ",Inconclusive,Existing,Preventive Care,,,
CAL01983e08e8667a5ba6c21c1a41d25d5b,no_medical_content,1,225,"Agent: Baby Animal Hospital. Nisha speaking. Hamapia. Caller: Hi. By any chance, do you crop Doberman's ears? Agent: We do not do that here. No. Caller: Okay. Thank you. Agent: Problem. You take care. Bye Bye. Caller: You do?",No,New,Surgical Services,3. Service/treatment not offered,,
CAL01983e5389e47772a297fe6c3437a375,no_medical_content,1,680,"Agent: Pickering Animal Hospital, Victoria speaking. How can I help you? Caller: Hi, sir. I just spoke to you, like, two minutes ago. I just called the vet and they said that you would have to call them and they'll email it to you. And I said, yeah, I have your email. She's like, no, they stopped to",No,Existing,Retail – Prescriptions,1. Caller Procrastination,,
CAL01983e922b207da490a8fbd803d9ecad,no_medical_content,1,1920,"Agent: Hello. Thank you for contacting the Quinte Regional Pet Hospital. How can I help you? Caller: Yeah. How are you today? Agent: I'm like a solid eight. How are you? Caller: A solid eight. What a fantastic answer. Agent: Yes. Caller: I'm curious, do you guys deal with, like, dogs with porch pond",No,New,Emergency & Critical Care,1. Caller Procrastination,,
CAL01983ebdc99a7a2abd9c8b4c530fbd2e,no_medical_content,1,552,Agent: Pet hospital. Zoe speaking. How can I help you? Caller: Have I called? Right. You're on Mountain Road. Agent: Mountain Highway? Yes. Caller: Okay. I don't know if I got. I don't know if I've called the right place. Agent: There's two vets in the area. There's Lynn Valley Vet and us. Lynn Vall,No,New,Preventive Care,4. Meant to call competitor hospital,,
CAL01983efc28d1755c90c39e76cb9b7386,no_medical_content,1,987,"Agent: Quinte Regional. SRI speaking. How may I help you? Caller: Nina, how are you? Agent: Good. How are you? Caller: Good. I spoke with somebody earlier about my dog with porch pine quills on her lips here. Agent: Yeah. Caller: And I just wanted to verify, like, the person I was talking to said it",No,New,Urgent Care / Sick Pet,1a. Caller Procrastination - Price Objection / Shopping / Request for Quote,,
CAL019841c4ba1b721dbc51f7aa7b507cab,no_medical_content,1,171,"Agent: War. Veterinary Clinic, Katie speaking. How can I help you? Caller: Do you guys take rabbits? Agent: No, we do not. Caller: Okay. Thank you. Agent: No problem. Bye.",No,New,Preventive Care,3g. Service/treatment not offered - Pocket Pets,,
CAL019841cf2a8d710da314d1261380c2d9,no_medical_content,1,1286,"Caller: Go to helmet. Get the cat. Hi, Kayla. I just talked to you a little while ago regarding our cat roll. Agent: Yes. Caller: Is that earlier appointment today still available? Was it 12:30? I. Agent: Let me take a look. I have an 1140. 1140. Caller: I'm sorry. I'm. I'm. I'm on my cell. I got te",Yes,Existing,Urgent Care / Sick Pet,,,
CAL019841e220cc744dbf8820d5386b398e,no_medical_content,1,1619,"Agent: Good morning. McEwen. Frontenac Animal Hospital, Kim speaking. Caller: Yeah. How are you today? Agent: I'm good, thanks. How are you? Caller: Not bad. I just started bringing my new puppy to you guys. Agent: Okay. Caller: But I also have a 17 year old cat who doesn't need to go to the vet. Sh",No,Existing,Retail – Food Orders,1a. Caller Procrastination - Price Objection / Shopping / Request for Quote,,
CAL0198421ad735799ab2739bc5fde43e16,no_medical_content,1,415,"Agent: Good morning. Wetland animal hospital. This is chris. How may I help you? Caller: Yes, Chris, it's Vicki Weaver. I'm just calling to. Are you guys on First Broadway. Agent: No, we're on thorold road, so broadway animal hospital. The clinic on broadway is maine west animal hospital. Caller: On",No,New,Preventive Care,4. Meant to call competitor hospital,,
CAL0198423279ec78fdaf35068fb9b8d99d,wrong_number|no_medical_content,2,329,"Agent: Good morning. Welland Animal Hospital. How can I help you? Caller: Hi, is this the Cat and Dog clinic? Agent: Nope, this is the Welland Animal Hospital. You're looking for the one in six. That's okay. Caller: Oh, I'm sorry. Yeah, I called the wrong number. I'm sorry. Agent: No worries. Have a",No,New,Other,4. Meant to call competitor hospital,,
CAL01984274e65679f3bdb78b97754c80f7,no_medical_content,1,1344,"Agent: Thank you. Frontnik Animal Hospital, Haley speaking. Caller: Hi, Haley. It's Kenny. Kyle. How are you today? Agent: Good. How are you? Caller: I'm good, thank you. Now, Patches, on the other hand, has a little problem. So it's my mom's cat. She's in the hospital, and. Agent: Oh, no. Caller: T",Yes,Existing,"Urgent Care – Diagnosis and Treatment of Illnesses (Vomiting, Diabetes, Infections)",,,
CAL019842b7c3e872a8acf151661d07e8c7,no_medical_content,1,1051,"Agent: Pickering Animal Hospital. How can I help you? Caller: Hi, I'm calling to see if you have any availability tomorrow for my dog to recheck. Agent: Okay, what's your dog's name? Caller: Kiwi. Agent: I don't have any availability. Tomorrow. Caller: Oh, I see. Do you have anything in the morning ",Yes,New,Preventive Care,,,
CAL019842b84f5876e09bc393b78c7f2633,no_medical_content,1,968,"Agent: Bay Regional Animal Hospital. Claire speaking. How can I help you? Caller: Yes. Hi. I was wondering if you had a vet doctor on staff today. Agent: We not. We have one in the building, but not taking appointments right at the moment for today. Caller: Oh, okay. I. I have a lab that got a. You ",No,New,Urgent Care / Sick Pet,2b. Scheduling Issue - Full schedule,,
CAL019842cc2dc17b22b6f8ce191039db67,no_medical_content,1,517,"Agent: For Pet Hospital. Zoe speaking. How can I help you? Caller: Hi, Zoe. This is Vita. How are you? Agent: I'm well. How are you? Caller: I'm good. I'm good. So, because of the test results, we have to do that again on Monday, and I'm just wondering if the doctor is available on Monday or. I have",Inconclusive,Existing,Diagnostic Services,,,
CAL019842df25d57c4aa3ec337ad85897f1,no_medical_content,1,344,"Agent: Mccune, Frontenac, Animal Hospital, terror speaking. Caller: Yes. I want to know if you do cat declowing. Agent: No, we do not offer that service. Caller: Okay. Do you know where it can be possible? Agent: I don't know that anybody does that anymore. Sorry. Caller: Okay, thanks a lot. Agent: ",No,New,Dermatology,3. Service/treatment not offered,,
CAL0198434f2438726fbfca20582326abbe,no_medical_content,1,300,"Agent: Thomas glennard ninemo hospital. How can I help you? Caller: This is the one on Dundas, right? Agent: No, we're not on dundas. Caller: Oh. Agent: We're on thomas street and glenarn drive. Caller: I took the wrong hospital. Agent: Okay. That's okay. You're welcome. Caller: Thank you. Bye. Bye.",No,New,Diagnostic Services,4. Meant to call competitor hospital,,
CAL019843922eed72b6ad835c1f3c6afcb6,no_medical_content,1,1940,"Agent: Downtown Animal Clinic, this is Bethany. Caller: Hello. Agent: Hi there. Downtown Animal Clinic, this is Bethany. How are you? Caller: Hi. I'm good. How are you? Agent: I'm doing well, thank you. Caller: Yeah, so my name is Sai. I like to schedule an appointment. So we have a kitten like it's",Inconclusive,New,Preventive Care – Vaccinations,,,
CAL019843a69d1c737fa95a1b8d68279394,no_medical_content,1,480,"Agent: Quinte Regional Pet Hospital, SRI Seeking. How may I help you? Caller: Yes, hi. I called about an hour ago about my cat not being well, and you just told me to call when I'm on my way. Agent: Okay, perfect. How far away are you? Caller: I am just on North Front street about to head to downtow",Yes,New,Diagnostic Services,,,
CAL019843ed6b2f734c9241a08c86b0fd00,no_medical_content,1,1861,"Agent: Kingston Regional Pet Hospital, how can I help you? Caller: Yeah, I'm just here in your parking lot. We've got our cat here. I called about an hour and a half ago. Agent: Okay, is this. Sorry, what was wrong with the cat again? Caller: He's stopped eating for the past week and. Agent: Right. ",Yes,New,Surgical Services,,,
CAL01984466e3f67be2a6f6aa1eb172b807,no_medical_content,1,3633,"Agent: Kingston Regional Petty Hospital, how can I help you? Caller: Hi there. I called not too long ago about bringing my dog in. Agent: Yeah. Caller: I just can't remember if you said to park outside or. Agent: Go ahead. Yes, you'll just call when you arrive in the parking lot. I'm assuming you're",Yes,New,Urgent Care / Sick Pet,,,
CAL019846a0b66b74b4b1115e90a22d2740,no_medical_content,1,647,"Agent: Good morning, Pickering Animal Hospital, Dana speaking. Caller: Hi. I was wondering if you had any Alaskan appointment availability today for me to bring in my cat. Agent: Have we seen your cat before? Caller: No. Agent: No, I'm sorry. We only have like one emerge slot left and we have to kee",No,New,Diagnostic Services,2a. Scheduling Issue - Walk ins not available / no same day appt,,
CAL0198470e4f0776dc84cfd2ef4535130d,no_medical_content,1,1643,"Agent: Thomas Glenarion in the hospital. How can I help you? Caller: Hello. Hi. Do you consult on baby robins by any chance? Agent: We don't actually. Caller: Do you know who I could call in the area? That's wildlife. Agent: Let me see. Is it, like, one you found? Caller: No, it's. We've had them on",No,Existing,Diagnostic Services,3e. Service/treatment not offered - Birds,,
CAL01984750447c753b8663b462773b80b1,no_medical_content,1,881,"Agent: Okotoka Sedentary. Linda speaking. Caller: Hi, Linda. My name is Julie Height and my dogs Frankie and Smudge. Two mini Goldendoodles. I'm assuming I'm not going to be able to get what I'm asking, but I'm asking anyway. It's a last to do thing. I don't know if they're glands. I'm leaving them ",No,Existing,Preventive Care,2b. Scheduling Issue - Full schedule,,
CAL0198475c983f71f6a1eb26f4b5112437,very_short,1,1862,"Agent: Thank you for calling the Picker Animal Hospital. We are open Monday and Tuesday 8:00am to 8:00pm Wednesday, Thursday and Friday 8:00am to 7:00pm and Saturday 8:00am to 3:00pm if you are calling during regular business hours, we are presently helping other clients. Please leave a message and ",Inconclusive,Existing,Urgent Care / Sick Pet,2c. Scheduling Issue - Not open / no availability on evenings,,
CAL0198478421927965adb7b7548ceb4eda,no_medical_content,1,1905,"Agent: Good morning. Downtown Animal Clinic. Caller: Hi, my name is Kelly. I was wondering if you had any [DRUG] for cats for sale? Like. Agent: Yeah. Caller: I think it's called [DRUG] [DRUG] [DRUG] or something like that. Agent: Yeah. [DRUG] [DRUG]. Caller: Yeah. Agent: Yeah, we do. How many packe",Inconclusive,New,Retail – Prescriptions,,,
CAL019847e8351073f5b10dbd1daf7a4083,no_medical_content,1,725,"Agent: Pet hospital. Zoe's speaking. How can I help you? Caller: Hi there. I'm just wondering, do you serve as hamsters? Agent: We're going to be starting exotic soon. Let me check, though. I need to ask the doctor. Just one second. I'm not 100% sure. Just one second. Caller: Okay, no worries. Agent",No,New,Urgent Care / Sick Pet,3c. Service/treatment not offered - Exotics,,
CAL019848037cc1761784113355c763b72a,no_medical_content,1,2533,"Agent: Kingston Regional Pet Hospital. How can I help you? Caller: Hi, it's Jeff Smith calling there. My sister called a little while ago with her cat and looking after a cat. Agent: Okay. Caller: She was talking to somebody there. I gave her too much to screen for a year. Agent: Oh, yes. I just nee",No,Existing,Urgent Care / Sick Pet,1c. Caller Procrastination - Getting information for someone else,,
CAL0198481b99eb767a890f8febab7b9b06,garbled,1,1702,"Agent: Kingston Regional Pet Hospital. How can I help you? Caller: Yes, Hi there. I'm currently at our cottage up on Buck Lake and we're here with our dog. He normally is cared for in Whitby. He has a [MEDICAL_CONDITION] [MEDICAL_CONDITION] in his front left shoulder that he takes [DRUG] [DRUG] for,",Yes,New,Urgent Care / Sick Pet,,,
CAL0198499d874070f18445f5efce0cc46c,no_medical_content,1,524,"Agent: Kingston Regional. How can I help you? Caller: Yes, I have a dog. Great peer, golden retriever who ran into a porcupine. Agent: Oh, no. Okay. All right. You can definitely come in to us. They will let you know where [MEDICAL_PROCESS] [MEDICAL_PROCESS] starts at $1020. Caller: Okay. Agent: Oka",Inconclusive,New,"Emergency & Critical Care – Stabilization (Trauma, Poisoning, Seizures)",,,
CAL019849a8e0747457bf3a9a7d1108a135,no_medical_content,1,864,"Agent: Kingston Regional Pet Hospital. How can I help you? Caller: Oh, hi. Yes, I'm home with my son's cat, and it's looking very lethargic, so I'm not sure what to do. Agent: Okay, have you been able to get a hold of your son? Caller: No, not yet. Agent: Okay. Caller: I'm gonna call him. Maybe I sh",Inconclusive,New,Urgent Care / Sick Pet,,,
CAL01984c991c9477818dc9d0c268cf0153,no_medical_content,1,1007,"Agent: Thank you for calling Kingston Regional Pet Hospital. How can I help you? Caller: Yeah, hi. I want to know, how much does it cost to [MEDICAL_PROCESS] a dog? Agent: Is it just a [MEDICAL_PROCESS] or is it with a type of cremation or home burial? Or have you thought about aftercare? Caller: No",No,New,End of Life Care – In-Clinic Euthanasia,1a. Caller Procrastination - Price Objection / Shopping / Request for Quote,,
